time,q1,q2,q3,dq1,dq2,dq3,ddq1,ddq2,ddq3,tau1,tau2,tau3,x,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4152755082059282,-0.20493928296328173,-0.06651411356130568,0.0,0.0
0.0020833333333333333,0.0005555555555555557,0.0005555555555555557,0.0005555555555555557,0.27777777777777785,0.27777777777777785,0.27777777777777785,138.8888888888889,138.8888888888889,138.8888888888889,2.1286179514856673e-07,1.7924317216328617e-07,8.23432664745884e-08,0.001666666666666667,0.0
0.004166666666666667,0.0011111111111111113,0.0011111111111111113,0.0011111111111111113,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,9.07010240636108e-07,8.067434996523667e-07,3.7900681625418976e-07,0.003333333333333334,0.0
0.00625,0.001666666666666667,0.001666666666666667,0.001666666666666667,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,2.00380086398666e-06,1.8377686096186351e-06,8.736372531447739e-07,0.005000000000000001,0.0
0.008333333333333333,0.0022222222222222227,0.0022222222222222227,0.0022222222222222227,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,3.5032545055713182e-06,3.2723371835732904e-06,1.5662427416765365e-06,0.006666666666666668,0.0
0.010416666666666666,0.002777777777777778,0.002777777777777778,0.002777777777777778,0.2777777777777776,0.2777777777777776,0.2777777777777776,-1.1102230246251565e-13,-1.1102230246251565e-13,-1.1102230246251565e-13,5.405420019519158e-06,5.110495351020195e-06,2.456844580642041e-06,0.008333333333333333,0.0
0.0125,0.003333333333333334,0.003333333333333334,0.003333333333333334,0.27777777777777807,0.27777777777777807,0.27777777777777807,2.220446049250313e-13,2.220446049250313e-13,2.220446049250313e-13,7.710386401821312e-06,7.3523292289793315e-06,3.545483448703956e-06,0.010000000000000002,0.0
0.014583333333333334,0.003888888888888889,0.003888888888888889,0.003888888888888889,0.2777777777777776,0.2777777777777776,0.2777777777777776,-2.220446049250313e-13,-2.220446049250313e-13,-2.220446049250313e-13,1.0418294922279192e-05,9.997977464469262e-06,4.832225652408594e-06,0.011666666666666667,0.0
0.016666666666666666,0.004444444444444445,0.004444444444444445,0.004444444444444445,0.27777777777777807,0.27777777777777807,0.27777777777777807,2.220446049250313e-13,2.220446049250313e-13,2.220446049250313e-13,1.3529351261046263e-05,1.3047643789135905e-05,6.317169380292426e-06,0.013333333333333336,0.0
0.01875,0.005,0.005,0.005,0.2777777777777774,0.2777777777777774,0.2777777777777774,-3.3306690738754696e-13,-3.3306690738754696e-13,-3.3306690738754696e-13,1.704383765403772e-05,1.650160958756395e-05,8.000450964918042e-06,0.015,0.0
0.020833333333333332,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.27777777777777785,0.27777777777777785,0.27777777777777785,2.220446049250313e-13,2.220446049250313e-13,2.220446049250313e-13,2.096212505460493e-05,2.0360246486142777e-05,9.882251157396338e-06,0.016666666666666666,0.0
0.022916666666666665,0.006111111111111111,0.006111111111111111,0.006111111111111111,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,2.528468531093342e-05,2.4624028974470826e-05,1.1962801420030197e-05,0.018333333333333333,0.0
0.025,0.006666666666666668,0.006666666666666668,0.006666666666666668,0.27777777777777823,0.27777777777777823,0.27777777777777823,1.942890293094024e-13,1.942890293094024e-13,1.942890293094024e-13,3.001210337540139e-05,2.929354706817538e-05,1.4242390242091276e-05,0.020000000000000004,0.0
0.027083333333333334,0.007222222222222224,0.007222222222222224,0.007222222222222224,0.27777777777777785,0.27777777777777785,0.27777777777777785,-1.942890293094024e-13,-1.942890293094024e-13,-1.942890293094024e-13,3.5145089543969776e-05,3.4369519019642174e-05,1.6721369484179368e-05,0.02166666666666667,0.0
0.029166666666666667,0.007777777777777778,0.007777777777777778,0.007777777777777778,0.2777777777777774,0.2777777777777774,0.2777777777777774,-2.220446049250313e-13,-2.220446049250313e-13,-2.220446049250313e-13,4.068449174111921e-05,3.985280409856849e-05,1.9400160760487805e-05,0.023333333333333334,0.0
0.03125,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.2777777777777774,0.2777777777777774,0.2777777777777774,0.0,0.0,0.0,4.663130785780012e-05,4.5744415448107246e-05,2.227926186578556e-05,0.025,0.0
0.03333333333333333,0.00888888888888889,0.00888888888888889,0.00888888888888889,0.2777777777777787,0.2777777777777787,0.2777777777777787,6.38378239159465e-13,6.38378239159465e-13,6.38378239159465e-13,5.298669815312351e-05,5.2045533037131273e-05,2.535925325536286e-05,0.026666666666666672,0.0
0.035416666666666666,0.009444444444444445,0.009444444444444445,0.009444444444444445,0.27777777777777696,0.27777777777777696,0.27777777777777696,-8.604228440844963e-13,-8.604228440844963e-13,-8.604228440844963e-13,5.975199773007589e-05,5.875751672480226e-05,2.8640804589793686e-05,0.028333333333333335,0.0
0.0375,0.01,0.01,0.01,0.27777777777777785,0.27777777777777785,0.27777777777777785,4.440892098500626e-13,4.440892098500626e-13,4.440892098500626e-13,6.692872910382675e-05,6.58819194553446e-05,3.212468135288402e-05,0.03,0.0
0.03958333333333333,0.010555555555555556,0.010555555555555556,0.010555555555555556,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,7.451861487005329e-05,7.342050060498979e-05,3.5811751555982825e-05,0.03166666666666667,0.0
0.041666666666666664,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,8.25235904914623e-05,8.137523950178739e-05,3.970299253980769e-05,0.03333333333333333,0.0
0.04375,0.011666666666666667,0.011666666666666667,0.011666666666666667,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,9.094581721906525e-05,8.974834914178488e-05,4.379949788852134e-05,0.035,0.0
0.04583333333333333,0.012222222222222223,0.012222222222222223,0.012222222222222223,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,9.978769516875985e-05,9.854229012878717e-05,4.8102484469104544e-05,0.03666666666666667,0.0
0.04791666666666666,0.012777777777777779,0.012777777777777779,0.012777777777777779,0.27777777777777785,0.27777777777777785,0.27777777777777785,0.0,0.0,0.0,0.00010905187655993465,0.00010775978486336204,5.261329961218491e-05,0.03833333333333334,0.0
0.05,0.01333333333333333,0.01333333333333333,0.01333333333333333,0.27777777777777607,0.27777777777777607,0.27777777777777607,-8.881784197001252e-13,-8.881784197001252e-13,-8.881784197001252e-13,0.00011874127915641186,0.00011740383200975414,5.7333428450361305e-05,0.039999999999999994,0.0
0.052083333333333336,0.012777777777777777,0.012777777777777777,0.012777777777777777,-0.27777777777777696,-0.27777777777777696,-0.27777777777777696,-277.7777777777765,-277.7777777777765,-277.7777777777765,3.0673524305885325e-05,3.238351264155635e-05,1.6159237256228517e-05,0.03833333333333333,0.0
0.05416666666666667,0.01222222222222222,0.01222222222222222,0.01222222222222222,-0.2777777777777787,-0.2777777777777787,-0.2777777777777787,-8.604228440844963e-13,-8.604228440844963e-13,-8.604228440844963e-13,2.734512047949944e-05,2.8979622523602052e-05,1.447823440479262e-05,0.03666666666666666,0.0
0.05625,0.011666666666666664,0.011666666666666664,0.011666666666666664,-0.27777777777777785,-0.27777777777777785,-0.27777777777777785,4.163336342344337e-13,4.163336342344337e-13,4.163336342344337e-13,2.360574173429497e-05,2.5163438154045302e-05,1.2594853836236301e-05,0.03499999999999999,0.0
0.058333333333333334,0.011111111111111112,0.011111111111111112,0.011111111111111112,-0.27777777777777607,-0.27777777777777607,-0.27777777777777607,8.881784197001252e-13,8.881784197001252e-13,8.881784197001252e-13,1.9454829629450554e-05,2.093438018690541e-05,1.0508805339790083e-05,0.03333333333333333,0.0
0.06041666666666667,0.010555555555555554,0.010555555555555554,0.010555555555555554,-0.2777777777777787,-0.2777777777777787,-0.2777777777777787,-1.304512053934559e-12,-1.304512053934559e-12,-1.304512053934559e-12,1.4891914878217838e-05,1.629196308630134e-05,8.219845995419508e-06,0.03166666666666666,0.0
0.0625,0.01,0.01,0.01,-0.27777777777777696,-0.27777777777777696,-0.27777777777777696,8.604228440844963e-13,8.604228440844963e-13,8.604228440844963e-13,9.916629885822759e-06,1.123580823216854e-05,5.727786736776062e-06,0.03,0.0
0.06458333333333333,0.009444444444444446,0.009444444444444446,0.009444444444444446,-0.27777777777777696,-0.27777777777777696,-0.27777777777777696,0.0,0.0,0.0,4.528721302493599e-06,5.76565706032219e-06,3.03249893371816e-06,0.02833333333333334,0.0
0.06666666666666667,0.008888888888888887,0.008888888888888887,0.008888888888888887,-0.27777777777777957,-0.27777777777777957,-0.27777777777777957,-1.304512053934559e-12,-1.304512053934559e-12,-1.304512053934559e-12,-1.271937394686784e-06,-1.1861577578747146e-07,1.3392098689583073e-07,0.02666666666666666,0.0
0.06875,0.00833333333333333,0.00833333333333333,0.00833333333333333,-0.2777777777777787,-0.2777777777777787,-0.2777777777777787,4.440892098500626e-13,4.440892098500626e-13,4.440892098500626e-13,-7.4853333202895556e-06,-6.416989233397428e-06,-2.967935072299417e-06,0.02499999999999999,0.0
0.07083333333333333,0.007777777777777777,0.007777777777777777,0.007777777777777777,-0.2777777777777765,-0.2777777777777765,-0.2777777777777765,1.0824674490095276e-12,1.0824674490095276e-12,1.0824674490095276e-12,-1.411130159308105e-05,-1.3129282711384646e-05,-6.272976985075614e-06,0.02333333333333333,0.0
0.07291666666666667,0.00722222222222222,0.00722222222222222,0.00722222222222222,-0.27777777777777823,-0.27777777777777823,-0.27777777777777823,-8.604228440844963e-13,-8.604228440844963e-13,-8.604228440844963e-13,-2.1149512768589562e-05,-2.0255142903849834e-05,-9.781025680461928e-06,0.02166666666666666,0.0
0.075,0.006666666666666667,0.006666666666666667,0.006666666666666667,-0.2777777777777765,-0.2777777777777765,-0.2777777777777765,8.604228440844963e-13,8.604228440844963e-13,8.604228440844963e-13,-2.859946028849203e-05,-2.779403068996103e-05,-1.3491808711854235e-05,0.02,0.0
0.07708333333333334,0.006111111111111108,0.006111111111111108,0.006111111111111108,-0.27777777777777957,-0.27777777777777957,-0.27777777777777957,-1.5265566588595902e-12,-1.5265566588595902e-12,-1.5265566588595902e-12,-3.6460447975728005e-05,-3.5745208081234756e-05,-1.740495372658593e-05,0.018333333333333323,0.0
0.07916666666666666,0.005555555555555553,0.005555555555555553,0.005555555555555553,-0.2777777777777774,-0.2777777777777774,-0.2777777777777774,1.0824674490095276e-12,1.0824674490095276e-12,1.0824674490095276e-12,-4.473157757593771e-05,-4.410772524443725e-05,-2.1519981978806546e-05,0.01666666666666666,0.0
0.08125,0.004999999999999997,0.004999999999999997,0.004999999999999997,-0.27777777777777823,-0.27777777777777823,-0.27777777777777823,-4.163336342344337e-13,-4.163336342344337e-13,-4.163336342344337e-13,-5.3411736370259644e-05,-5.2880407625558465e-05,-2.5836301898860838e-05,0.01499999999999999,0.0
0.08333333333333333,0.004444444444444444,0.004444444444444444,0.004444444444444444,-0.2777777777777765,-0.2777777777777765,-0.2777777777777765,8.604228440844963e-13,8.604228440844963e-13,8.604228440844963e-13,-6.249958487157536e-05,-6.206184319270574e-05,-3.03532027316939e-05,0.01333333333333333,0.0
0.08541666666666667,0.0038888888888888866,0.0038888888888888866,0.0038888888888888866,-0.27777777777777846,-0.27777777777777846,-0.27777777777777846,-9.71445146547012e-13,-9.71445146547012e-13,-9.71445146547012e-13,-7.199354461921714e-05,-7.165036982899374e-05,-3.506984825909468e-05,0.01166666666666666,0.0
0.0875,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,-0.2777777777777765,-0.2777777777777765,-0.2777777777777765,9.71445146547012e-13,9.71445146547012e-13,9.71445146547012e-13,-8.189178609913084e-05,-8.164406289646437e-05,-3.9985270619263575e-05,0.01,0.0
0.08958333333333333,0.0027777777777777766,0.0027777777777777766,0.0027777777777777766,-0.27777777777777846,-0.27777777777777846,-0.27777777777777846,-9.71445146547012e-13,-9.71445146547012e-13,-9.71445146547012e-13,-9.219221679851453e-05,-9.204072299950276e-05,-4.509836423953966e-05,0.00833333333333333,0.0
0.09166666666666666,0.002222222222222223,0.002222222222222223,0.002222222222222223,-0.27777777777777674,-0.27777777777777674,-0.27777777777777674,8.604228440844963e-13,8.604228440844963e-13,8.604228440844963e-13,-0.00010289246941914965,-0.00010283786397961847,-5.040787989953277e-05,0.00666666666666667,0.0
0.09375,0.0016666666666666637,0.0016666666666666637,0.0016666666666666637,-0.2777777777777797,-0.2777777777777797,-0.2777777777777797,-1.4710455076283324e-12,-1.4710455076283324e-12,-1.4710455076283324e-12,-0.00011398989027594508,-0.00011403270116637347,-5.591241893966614e-05,0.004999999999999991,0.0
0.09583333333333333,0.0011111111111111102,0.0011111111111111102,0.0011111111111111102,-0.27777777777777674,-0.27777777777777674,-0.27777777777777674,1.4710455076283324e-12,1.4710455076283324e-12,1.4710455076283324e-12,-0.00012548152789190747,-0.00012562213991861352,-6.161042763341265e-05,0.0033333333333333305,0.0
0.09791666666666667,0.0005555555555555536,0.0005555555555555536,0.0005555555555555536,-0.2777777777777783,-0.2777777777777783,-0.2777777777777783,-7.771561172376096e-13,-7.771561172376096e-13,-7.771561172376096e-13,-0.00013736412182073499,-0.00013760276448779112,-6.7500191741454e-05,0.0016666666666666607,0.0
0.09999999999999999,0.0,0.0,0.0,-0.2777777777777768,-0.2777777777777768,-0.2777777777777768,7.494005416219807e-13,7.494005416219807e-13,7.494005416219807e-13,-0.00014963409171567243,-0.00014997082723443972,-7.357983126548334e-05,0.0,0.0
